route_id,timestamp,origin,destination,weather,traffic_density,vehicle_type,package_weight_kg,driver_experience_years,baseline_duration_mins,actual_duration_mins
ROUTE_00001,06/01/2026 23:01,Metro_Hub_East,Warehouse_B,stormy,low,electric,48.072113667446686,,265.4359759861384,490.5551663161505
ROUTE_00002,28/01/2026 03:02,Warehouse_A,Metro_Hub_West,snowy,low,truck,114.33214523714035,8.0,56.47561911186355,103.86273437631824
ROUTE_00003,2026/05/16 06:31:00,Warehouse_A,Distribution_Center_South,stormy,high,truck,89.17930330831159,7.0,147.80138443491475,451.16936325343
ROUTE_00004,19/04/2026 08:04,Metro_Hub_East,Warehouse_B,stormy,jam,van,73.84572568265921,16.0,289.8218054570547,1020.2649037763961
ROUTE_00005,2026/01/17 00:45:00,Warehouse_C,Warehouse_A,sunny,medium,electric,22.9421436508802,999.0,255.21743834136797,277.4427718532567
ROUTE_00006,27/02/2026 15:59,Warehouse_B,Distribution_Center_North,stormy,medium,truck,22.939369838663303,6.0,162.22008860162086,373.67642427107904
ROUTE_00007,2026/03/23 10:11:00,Warehouse_B,Warehouse_A,sunny,,truck,11.67961539934294,20.0,235.89420045371926,228.02444152185868
ROUTE_00008,2026/05/16 12:38:00,Warehouse_B,Warehouse_A,rainy,jam,electric,104.61025676411755,21.0,255.01195859654925,572.8135836068006
ROUTE_00009,2026-03-06 19:17:00,Metro_Hub_East,Distribution_Center_North,,medium,electric,74.128226350469,11.0,123.96728006095421,141.06511455484642
ROUTE_00010,11/05/2026 14:12,Warehouse_A,Warehouse_B,snowy,medium,truck,86.42834644654523,5.0,270.88128755488947,557.5978974865577
ROUTE_00011,25/05/2026 00:06,Metro_Hub_East,Warehouse_B,stormy,high,van,7.367216844017282,,157.02779631283232,409.3334702487692
ROUTE_00012,2026-05-07 06:19:00,Metro_Hub_East,Distribution_Center_South,stormy,low,electric,116.53963299862934,7.0,172.50798816088408,341.2198963967507
ROUTE_00013,31/03/2026 08:29,Distribution_Center_South,Distribution_Center_North,snowy,high,van,100.7309036920485,5.0,299.92106221189437,745.5648189611188
ROUTE_00014,2026-02-27 00:54:00,Warehouse_A,Metro_Hub_West,snowy,low,van,29.41899772800176,11.0,257.69180086108355,383.7775186592678
ROUTE_00015,12/01/2026 14:38,Distribution_Center_South,Distribution_Center_North,stormy,jam,electric,25.90987122881657,15.0,127.6779015587046,390.3205814981553
ROUTE_00016,2026-01-17 04:45:00,Distribution_Center_North,Distribution_Center_South,stormy,medium,van,26.09151863314489,,32.79331104762898,75.3079687038591
ROUTE_00017,25/04/2026 00:27,Warehouse_A,Warehouse_B,snowy,low,truck,39.987857940346835,999.0,199.06699992435156,357.5362427291125
ROUTE_00018,2026-04-25 18:21:00,Warehouse_A,Distribution_Center_South,stormy,high,electric,65.34698963770735,23.0,220.05662505458912,501.93991162109205
